rid,age,race,latino,vote12,vote16,media,partyid,income,obama.th,trump.th,biden.th
2610,32,1,2,2,,3,2,14,10,100,0
2611,58,1,2,1,1,1,2,19,85,0,85
2612,50,1,2,1,1,3,2,17,30,60,30
2613,59,1,2,1,,1,1,20,100,0,100
2614,43,6,2,2,,2,3,10,60,15,70
2615,34,3,1,1,1,3,1,1,85,0,85
2616,54,1,2,2,,3,1,18,85,15,40
2617,55,1,2,1,,2,1,20,100,0,85
2618,56,2,2,1,1,3,1,6,50,,
2619,38,1,2,1,,2,2,20,60,50,50
2620,80,1,2,1,1,1,1,13,100,0,100
2621,65,1,2,1,,2,2,20,40,70,0
2622,65,1,2,1,1,1,1,7,100,0,100
2623,62,1,2,1,,2,1,1,100,0,100
2624,44,1,2,1,,2,2,12,15,100,15
2625,33,1,2,2,,3,2,6,40,100,0
2626,45,2,2,1,,2,3,13,60,85,50
2627,55,1,2,1,1,2,2,19,50,60,30
2628,36,1,2,1,1,3,2,10,50,100,0
2629,31,1,2,2,2,2,1,19,60,15,30
2630,46,1,2,1,,1,1,19,100,0,90
2631,43,1,2,1,,4,3,20,50,60,48
2632,37,1,2,1,,2,3,15,90,0,40
2633,38,1,2,1,,2,1,21,85,0,60
2634,55,1,2,1,,2,2,10,50,85,88
2635,76,1,2,1,1,3,3,8,85,15,60
2636,71,1,2,1,1,3,1,6,85,40,85
2637,30,1,2,2,2,4,1,6,30,0,50
2638,77,1,2,2,2,2,1,2,30,50,0
2639,71,1,2,1,1,4,1,5,75,0,100
2640,53,1,2,1,1,2,2,18,60,50,50
2641,50,1,2,2,,2,2,19,50,15,50
2642,48,1,2,1,2,2,1,20,80,0,70
2643,37,2,2,1,2,3,3,5,85,60,85
2644,53,3,1,1,,2,3,11,70,60,50
2645,68,1,2,1,,3,2,1,0,,0
2646,45,3,1,2,2,3,1,10,100,0,100
2647,80,5,2,1,,2,1,1,100,0,100
2648,65,1,2,1,,1,5,3,60,85,30
2649,30,1,2,1,1,2,1,10,100,0,100
2650,66,1,2,1,1,3,1,13,85,0,60
2651,38,6,2,2,,3,3,15,40,55,50
2652,40,3,1,1,,,1,1,85,0,60
2653,42,3,1,1,1,2,2,7,60,85,0
